BattlePos2	13	130026|70014|90022|280015|80026|210009|110010|260010|250026|280022
RandomEvnetPos	10	250022|170029|60026|150007|200005|90011|220014|120028|240006|130012|220027|130023|70019|50023|30018
BattlePos	7	190026|140014|240012|130020|180013|220023|250018|110015|160010|160024
ScrectShopPos	4	40009
BattlePos3	14	120005|70007|280004|290027|220031|300011|170005
RandomChestPos	8	20025|230004
PKEnterPos	3	150030
BronPos	1	180018
BattlePos4	15	30021
GoToNextLvlPos	11	220018
GoHomePos	12	150018
RechargePos	6	260013
